name,address,country,latitude,longitude,content/image/_url,TYPE
Swachh Public Toilet,"Near roshan pura, Delhi, Delhi NCR",IN,28.60574167,76.98688,http://swachhtoilet.in/ToiletImages/1473230444049_9143.jpg,MISC
Swachh Public Toilet,"Near najaf gadh, Delhi, Delhi NCR",IN,28.61339833,76.98603167,http://swachhtoilet.in/ToiletImages/1473225358120_3172.jpg,MISC
Swachh Public Toilet,"indian oil petrol pump, Gurgaon, Delhi NCR",IN,28.46906424,77.00438688,http://swachhtoilet.in/ToiletImages/1473846971815_3450.jpg,PETROL PUMP
Swachh Public Toilet,"kadipur road near animal hospital, Gurgaon, Delhi NCR",IN,28.45158323,77.00671961,http://swachhtoilet.in/ToiletImages/1473760584145_7331.jpg,HOSPITAL
Swachh Public Toilet,"shiri. shanidev.mandir. villages. jahajgad., Gurgaon, Delhi NCR",IN,28.50484833,77.000215,http://swachhtoilet.in/ToiletImages/1473840276587_9724.jpg,MISC
Swachh Public Toilet,"Near roshan pura, Delhi, Delhi NCR",IN,28.60263833,76.98813833,http://swachhtoilet.in/ToiletImages/1473231543002_6495.jpg,MISC
Swachh Public Toilet,"Near roshan pura, Delhi, Delhi NCR",IN,28.600885,76.988585,http://swachhtoilet.in/ToiletImages/1473231913433_7102.jpg,MISC
Swachh Public Toilet,"Near roshan pura, Delhi, Delhi NCR",IN,28.60084,76.98880667,http://swachhtoilet.in/ToiletImages/1473233010439_8379.jpg,MISC
Swachh Public Toilet,"hudda market sec 10, Gurgaon, Delhi NCR",IN,28.4424291,77.008875,http://swachhtoilet.in/ToiletImages/1473841188576_2050.jpg,MISC
Swachh Public Toilet,"neki ram marg, Gurgaon, Delhi NCR",IN,28.46909525,77.00571213,http://swachhtoilet.in/ToiletImages/1473847309532_9465.jpg,MISC
Swachh Public Toilet,"kadipur road near reliance frss, Gurgaon, Delhi NCR",IN,28.45213963,77.00791937,http://swachhtoilet.in/ToiletImages/1473759445221_6551.jpg,MISC
Swachh Public Toilet,"gautam hospital, Gurgaon, Delhi NCR",IN,28.44214036,77.00963762,http://swachhtoilet.in/ToiletImages/1473840735038_5811.jpg,HOSPITAL
Swachh Public Toilet,"feroj ghandi caloni, Gurgaon, Delhi NCR",IN,28.45759167,77.00787,http://swachhtoilet.in/ToiletImages/1473842478017_6396.jpg,MISC
Swachh Public Toilet,"temple rajindra park, Gurgaon, Delhi NCR",IN,28.48905086,77.0049894,http://swachhtoilet.in/ToiletImages/1473765722748_6587.jpg,MISC
Swachh Public Toilet,"shivam hospital shivajinpark, Gurgaon, Delhi NCR",IN,28.44351833,77.01091667,http://swachhtoilet.in/ToiletImages/1473840383347_6389.jpg,HOSPITAL
Swachh Public Toilet,"sanrise hospital, Gurgaon, Delhi NCR",IN,28.44420667,77.01141167,http://swachhtoilet.in/ToiletImages/1473840290800_3236.jpg,HOSPITAL
Swachh Public Toilet,"feroz Gandhi colonial near  hanuman mandir, Gurgaon, Delhi NCR",IN,28.45930667,77.00956333,http://swachhtoilet.in/ToiletImages/1473843206219_5349.jpg,MISC
Swachh Public Toilet,"Najaf gadh, Delhi, Delhi NCR",IN,28.61260167,76.99068333,http://swachhtoilet.in/ToiletImages/1473224705999_1346.jpg,MISC
Swachh Public Toilet,"hudda market 2 sec 3 a road, Gurgaon, Delhi NCR",IN,28.47471087,77.00941345,http://swachhtoilet.in/ToiletImages/1473847643663_5482.jpg,MISC
